Code,Name,2005,2006,2007,2008,2009,2010,2011,2012,2013
E09000001,Barking and Dagenham,921.3,927,916.1,896.4,811.9,866,779.9,816.4,783.2
E09000002,Barnet,"1,750.80","1,763.70","1,705.40","1,720.30","1,575.20","1,665.60","1,492.80","1,583.80","1,552.70"
E09000003,Bexley,"1,272.20","1,254.10","1,203.80","1,193.50","1,086.00","1,143.00","1,031.00","1,093.90","1,060.90"
E09000004,Brent,"1,415.10","1,385.30","1,389.40","1,430.60","1,287.40","1,280.10","1,140.40","1,340.10","1,292.60"
E09000005,Bromley,"1,550.20","1,586.20","1,507.20","1,490.30","1,368.80","1,425.10","1,287.50","1,368.30","1,334.70"
E09000006,Camden,"1,678.90","1,797.80","1,746.20","1,718.60","1,553.70","1,632.00","1,484.50","1,595.80","1,540.50"
E09000007,City of London,"1,632.20","1,764.80","1,664.50","1,682.90","1,476.70","1,627.20","1,388.70","1,534.50","1,417.50"
E09000008,Croydon,"1,744.90","1,713.10","1,661.30","1,652.30","1,494.00","1,560.90","1,411.60","1,505.60","1,452.20"
E09000009,Ealing,"1,659.30","1,693.60","1,683.30","1,683.30","1,534.80","1,593.90","1,478.40","1,584.00","1,567.30"
E09000010,Enfield,"1,584.20","1,722.40","1,716.70","1,560.10","1,413.00","1,476.50","1,318.60","1,421.80","1,397.50"
E09000011,Greenwich,"1,248.80","1,245.10","1,212.10","1,233.70","1,133.60","1,196.30","1,064.80","1,089.80","1,004.50"
E09000012,Hackney,901.9,915.4,893.1,895.3,817.7,872.6,807.2,901.5,877.8
E09000013,Hammersmith and Fulham,"1,079.30","1,103.20","1,080.90","1,076.00","1,012.50","1,062.90",959.3,"1,010.10",971.3
E09000014,Haringey,"1,030.20","1,039.90",987.4,"1,018.60",920.8,963.9,864.3,918.3,891.6
E09000015,Harrow,"1,001.30",989.7,968.6,968.2,868.8,909.7,808.5,867.6,837.7
E09000016,Havering,"1,323.00","1,338.70","1,283.10","1,267.30","1,173.70","1,248.80","1,127.40","1,180.20","1,161.20"
E09000017,Hillingdon,"2,309.10","2,303.00","2,202.50","2,318.60","2,058.50","2,069.60","1,801.00","2,050.30","1,998.40"
E09000018,Hounslow,"1,592.50","1,629.70","1,587.00","1,528.80","1,413.50","1,517.70","1,407.00","1,477.00","1,420.70"
E09000019,Islington,"1,177.00","1,218.40","1,188.10","1,213.30","1,097.60","1,158.50","1,019.60","1,120.40","1,052.10"
E09000020,Kensington and Chelsea,"1,375.30","1,412.60","1,364.20","1,375.90","1,275.10","1,413.20","1,312.70","1,357.80","1,236.00"
E09000021,Kingston upon Thames,875.5,863.7,854.8,837.1,771.5,813.8,732.7,770.2,752.4
E09000022,Lambeth,"1,395.10","1,409.00","1,368.20","1,371.40","1,274.90","1,327.00","1,212.20","1,279.70","1,257.30"
E09000023,Lewisham,"1,149.70","1,137.90","1,111.10","1,061.60",974,"1,015.30",923.6,965.3,930.3
E09000024,Merton,900.1,887.2,859.2,947.8,858.7,903.6,809.7,854.4,844.6
E09000025,Newham,"1,429.20","1,530.20","1,510.00","1,513.60","1,449.10","1,535.70","1,424.40","1,457.90","1,441.60"
E09000026,Redbridge,"1,099.60","1,094.00","1,069.70","1,053.60",977.4,"1,018.40",944,998.9,963.5
E09000027,Richmond upon Thames,"1,040.30","1,038.90","1,015.20",999,902.9,940.1,836.1,902.5,880.9
E09000028,Southwark,"1,710.30","1,723.60","1,686.70","1,669.90","1,485.30","1,558.30","1,389.80","1,532.40","1,454.50"
E09000029,Sutton,865.9,867.3,851.1,854.3,797.3,834.7,742.1,804.3,774.4
E09000030,Tower Hamlets,"1,983.90","2,331.00","2,314.90","2,370.10","2,087.60","2,224.10","1,910.10","2,081.70","1,948.30"
E09000031,Waltham Forest,985.4,994.6,950.4,975.2,873.6,925.6,822.5,874,850.5
E09000032,Wandsworth,"1,460.20","1,431.20","1,388.60","1,309.70","1,193.20","1,260.60","1,125.20","1,198.50","1,162.60"
E09000033,Westminster,"3,395.40","3,577.10","3,443.00","3,491.80","3,102.50","3,275.50","2,954.30","3,191.30","3,048.40"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,